                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.17196,                0.20635,                0.99795,                0.98306,                      1,                0.98288,                0.95128,                0.32885,                0.24056,                0.47802,              0.0012872,              0.0012872,              0.0012872
                     38,                0.16313,                0.20571,                0.99023,                0.98184,                      1,                 0.9856,                0.95625,                0.28528,                0.25136,                0.50177,              0.0012674,              0.0012674,              0.0012674
                     39,                0.16609,                0.20455,                0.99572,                 0.9817,                      1,                0.98371,                0.95373,                  0.272,                 0.2838,                 0.4304,              0.0012476,              0.0012476,              0.0012476
                     40,                0.16944,                0.21152,                0.99562,                0.98169,                      1,                0.98449,                0.94689,                0.27529,                0.23426,                0.47641,              0.0012278,              0.0012278,              0.0012278
                     41,                0.16248,                0.19965,                0.99484,                0.98174,                      1,                0.98497,                0.94895,                 0.4103,                 0.2826,                0.59044,               0.001208,               0.001208,               0.001208
                     42,                0.16394,                0.20177,                0.98971,                0.98153,                      1,                0.98729,                0.95997,                0.31782,                0.33299,                0.54291,              0.0011882,              0.0011882,              0.0011882
                     43,                0.16176,                 0.2008,                0.99109,                0.98155,                      1,                0.98381,                0.94998,                0.33038,                0.30587,                0.52939,              0.0011684,              0.0011684,              0.0011684
                     44,                0.16634,                0.20181,                0.99622,                0.97887,                0.99778,                0.98416,                0.95179,                0.30728,                0.30414,                0.51199,              0.0011486,              0.0011486,              0.0011486
                     45,                0.16253,                0.20107,                 0.9933,                0.96102,                0.98608,                0.98264,                0.90975,                0.35991,                  0.339,                0.57764,              0.0011288,              0.0011288,              0.0011288
                     46,                0.16056,                0.19801,                0.99302,                0.98173,                      1,                0.98548,                0.94214,                0.38553,                0.27155,                0.57123,               0.001109,               0.001109,               0.001109
                     47,                0.15877,                0.20216,                0.99606,                0.98172,                      1,                0.98277,                0.95051,                0.34652,                0.31559,                0.53779,              0.0010892,              0.0010892,              0.0010892
                     48,                0.15629,                 0.1926,                0.98431,                0.98174,                      1,                0.98612,                 0.9526,                0.34913,                0.31473,                0.53366,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.1574,                0.19512,                0.99124,                0.98181,                0.99664,                0.98511,                0.95501,                0.36897,                0.34113,                0.51468,              0.0010496,              0.0010496,              0.0010496
                     50,                0.16043,                0.19783,                0.99131,                0.98031,                      1,                0.98671,                0.95474,                0.34518,                 0.3128,                0.51651,              0.0010298,              0.0010298,              0.0010298
                     51,                0.14873,                0.19274,                0.98395,                0.98175,                      1,                 0.9874,                0.91882,                0.34845,                0.34112,                0.55383,                0.00101,                0.00101,                0.00101
                     52,                0.15552,                0.20615,                0.98909,                0.97588,                      1,                0.98712,                0.95922,                0.27705,                0.25564,                0.49217,              0.0009902,              0.0009902,              0.0009902
